business_id,alias,title
4eT9FTSE3xqbg_4rm8NmAw,burgers,Burgers
4eT9FTSE3xqbg_4rm8NmAw,hotdogs,Fast Food
Paz7Ws5E1am2pJGkjPIcWw,indpak,Indian
Paz7Ws5E1am2pJGkjPIcWw,buffets,Buffets
5LUSYETTXJviCSYB2vAklg,hotdogs,Fast Food
5LUSYETTXJviCSYB2vAklg,burgers,Burgers
5LUSYETTXJviCSYB2vAklg,coffee,Coffee & Tea
vvuvA7jNX-XwxDZTpVMgTg,bbq,Barbeque
vvuvA7jNX-XwxDZTpVMgTg,tradamerican,American (Traditional)
vvuvA7jNX-XwxDZTpVMgTg,southern,Southern
1TrvjaxETYeAHy1sigcjdw,sportsbars,Sports Bars
1TrvjaxETYeAHy1sigcjdw,tradamerican,American (Traditional)
1TrvjaxETYeAHy1sigcjdw,venues,Venues & Event Spaces
JYVWcSpL4AdP_MRK0U8a2g,indpak,Indian
JYVWcSpL4AdP_MRK0U8a2g,desserts,Desserts
JYVWcSpL4AdP_MRK0U8a2g,soup,Soup
c6MLrlY8K6hRC5KI7HXLlg,steak,Steakhouses
c6MLrlY8K6hRC5KI7HXLlg,wine_bars,Wine Bars
c6MLrlY8K6hRC5KI7HXLlg,seafood,Seafood
HwY6Q2e5uaCh8ATivLPwoA,cafes,Cafes
HwY6Q2e5uaCh8ATivLPwoA,sandwiches,Sandwiches
HwY6Q2e5uaCh8ATivLPwoA,juicebars,Juice Bars & Smoothies
LMktzX_BJAF9P4GYNJcDMg,beerbar,Beer Bar
LMktzX_BJAF9P4GYNJcDMg,beer_and_wine,"Beer, Wine & Spirits"
LMktzX_BJAF9P4GYNJcDMg,wine_bars,Wine Bars
HnzYg5w0ufwOa5hUzz9eXw,juicebars,Juice Bars & Smoothies
HnzYg5w0ufwOa5hUzz9eXw,breakfast_brunch,Breakfast & Brunch
HnzYg5w0ufwOa5hUzz9eXw,acaibowls,Acai Bowls
5zT-MK5LQQSngRz5oxBQgA,diners,Diners
5zT-MK5LQQSngRz5oxBQgA,breakfast_brunch,Breakfast & Brunch
5zT-MK5LQQSngRz5oxBQgA,tradamerican,American (Traditional)
aP18O6gxQifNlN-x_0fGhA,sportsbars,Sports Bars
aP18O6gxQifNlN-x_0fGhA,chicken_wings,Chicken Wings
aP18O6gxQifNlN-x_0fGhA,tradamerican,American (Traditional)
S29Z2VMQulRqZbz88YdoUg,bakeries,Bakeries
S29Z2VMQulRqZbz88YdoUg,desserts,Desserts
