business_id,alias,yelp_name,wake_county_name,had_critical_violation,years_open,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
1KWOmardZCn7DmisR1-BEg,chipotle-mexican-grill-apex,Chipotle Mexican Grill,Chipotle  ,2.0,3.0,0.0,34.0,3.0,35.746485,-78.829501,$,Apex,27523,https://www.yelp.com/biz/chipotle-mexican-grill-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
w9M5H543VoiwUEv1-e3wEw,peak-of-the-vine-apex-2,Peak Of The Vine,Peak of the Vine,0.0,0.0,0.0,1.0,1.0,35.73306,-78.85047,?,Apex,27502,https://www.yelp.com/biz/peak-of-the-vine-apex-2?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
mAj_9KgLNSTfH9uHnQp7-A,rudys-pub-and-grill-apex,Rudy's Pub & Grill,RUDY'S PUB & GRILL,3.0,6.0,0.0,122.0,3.5,35.7383874736126,-78.8633079067675,$$,Apex,27502,https://www.yelp.com/biz/rudys-pub-and-grill-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
CEq9O18EX3irDWOFVblHiQ,cicis-apex,Cicis,CICI'S PIZZA,2.0,10.0,0.0,24.0,3.5,35.7433328245697,-78.8709609210491,$,Apex,27502,https://www.yelp.com/biz/cicis-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
ZiB6_HLEYwLE0PrlHu_dlg,moes-southwest-grill-apex,Moe's Southwest Grill,MOE'S SOUTHWEST GRILL ,0.0,6.0,0.0,27.0,2.0,35.7385614547065,-78.8630308322525,$,Apex,27502,https://www.yelp.com/biz/moes-southwest-grill-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
o0XsGAvqk6iuZlroMlnzcQ,arbys-apex,Arby's,ARBYS ,4.0,3.0,0.0,19.0,3.0,35.7108955383301,-78.8390426635742,$,Apex,27539,https://www.yelp.com/biz/arbys-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
3rxAW0TtKdE3HS29BOjYKA,qdoba-mexican-eats-apex,QDOBA Mexican Eats,QDOBA MEXICAN GRILL ,9.0,11.0,0.0,19.0,3.0,35.7444485258626,-78.8724589347839,$,Apex,27502,https://www.yelp.com/biz/qdoba-mexican-eats-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
cxdAV0JelOTwppAog9DvSA,one-china-apex,One China, CHINA,3.0,14.0,0.0,23.0,3.0,35.7384663394779,-78.8628183346848,$,Apex,27502,https://www.yelp.com/biz/one-china-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
LUaQOVrq-Osy29uxYjrTFw,knights-play-golf-center-apex,Knights Play Golf Center,Knights Play Golf Center,1.0,21.0,0.0,44.0,3.5,35.71128,-78.81399,?,Apex,27539,https://www.yelp.com/biz/knights-play-golf-center-apex?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
t_zhwvu5TE8KrjS4XbsyIQ,pizza-hut-apex-3,Pizza Hut,PIZZA HUT ,0.0,3.0,0.0,23.0,3.0,35.7330743187991,-78.8501776120204,$,Apex,27502,https://www.yelp.com/biz/pizza-hut-apex-3?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
