business_id,alias,yelp_name,is_closed,review_count,rating,latitude,longitude,price,location_city,location_zip_code,url
s2B_ZeSGTlQ3qbm0dOY5rg,hwy-55-burgers-shakes-and-fries-charlotte-5,Hwy 55 Burgers Shakes & Fries,0,88,3,35.171097,-80.9635474,$,Charlotte,28278,https://www.yelp.com/biz/hwy-55-burgers-shakes-and-fries-charlotte-5?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
RI1rKMh5RiJ1hISIVcSsWQ,great-american-cookies-charlotte-3,Great American Cookies,0,6,4,35.1702047,-80.971269,$,Charlotte,28278,https://www.yelp.com/biz/great-american-cookies-charlotte-3?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
1PYFn3TX0zAOydMyKpQVnQ,umi-teriyaki-and-sushi-charlotte,UMI Teriyaki & Sushi,0,8,3.5,35.12996292,-81.00771332,$,Charlotte,28278,https://www.yelp.com/biz/umi-teriyaki-and-sushi-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
Cr6Q5CAyezx7ivz2UsaghA,starbucks-charlotte-36,Starbucks,0,17,2.5,35.169128,-80.970396,$$,Charlotte,28278,https://www.yelp.com/biz/starbucks-charlotte-36?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
FTbNkCQyXjRqK0zJM70pmA,charleys-philly-steaks-charlotte,Charley's Philly Steaks,0,13,2,35.16944,-80.9707899,$$,Charlotte,28278,https://www.yelp.com/biz/charleys-philly-steaks-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
HWg0C5_GscWB9fRHvHkq_Q,kung-pao-wok-charlotte,Kung Pao Wok,0,6,1.5,35.16931737,-80.9703441,$,Charlotte,28278,https://www.yelp.com/biz/kung-pao-wok-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
G2hTYYzvlg75BisWSHarLQ,enricos-charlotte,Enricos,0,158,4,35.15991495,-80.97235422,$$,Charlotte,28278,https://www.yelp.com/biz/enricos-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
qf3xjfldVqjUKYWrPE4dtg,mod-pizza-charlotte-3,MOD Pizza,0,78,4,35.16171991,-80.97178493,$$,Charlotte,28278,https://www.yelp.com/biz/mod-pizza-charlotte-3?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
hC4d4JHnGbL9ZdrOQVXikw,fuzzys-taco-shop-charlotte,Fuzzy's Taco Shop,0,75,3.5,35.161448,-80.971619,?,Charlotte,28278,https://www.yelp.com/biz/fuzzys-taco-shop-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
EvPp-4ALV0MQQpOAAybMAQ,smithfields-chicken-n-bar-b-q-charlotte,Smithfield's Chicken N Bar B Q,0,57,3.5,35.16559033,-80.96973014,$$,Charlotte,28278,https://www.yelp.com/biz/smithfields-chicken-n-bar-b-q-charlotte?adjust_creative=9GoeKME1OYNRG1PTloCkOw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9GoeKME1OYNRG1PTloCkOw
